iteration,batch,batch_loss,epoch_loss,elapsed_time
1,0,4.5877867,4.5877867,8.95
2,0,3.2817736,3.2817736,85.27
3,0,2.428091,2.428091,143.34
4,0,2.1075313,2.1075313,203.03
5,0,1.8536217,1.8536217,263.1
6,0,1.6635039,1.6635039,322.26
7,0,1.3412637,1.3412637,381.84
8,0,1.0693473,1.0693473,440.31
9,0,1.0206237,1.0206237,494.65
10,0,0.7872958,0.7872958,549.98
11,0,0.791282,0.791282,605.22
12,0,0.5827892,0.5827892,661.92
13,0,0.5205975,0.5205975,718.66
14,0,0.41109908,0.41109908,773.99
15,0,0.31008628,0.31008628,829.63
16,0,0.25601056,0.25601056,887.82
17,0,0.19931293,0.19931293,948.43
18,0,0.16793284,0.16793284,1005.39
19,0,0.1548612,0.1548612,1061.34
