iteration,batch,batch_loss,epoch_loss,elapsed_time
1,0,4.6365023,4.6365023,4.0
1,50,2.3332436,2.8858392,37.24
1,100,2.181851,2.5636134,71.84
1,150,2.0015275,2.407267,107.44
1,200,1.9593267,2.3169558,143.32
1,250,1.9138886,2.2452219,180.15
1,300,2.206647,2.1975842,215.96
1,350,1.8386257,2.1614208,253.86
1,400,1.9873247,2.1282241,290.5
1,450,1.69998,2.098602,325.58
1,500,1.7866768,2.0743456,359.76
2,0,1.7194989,1.7194989,434.29
2,50,1.5819587,1.8205643,468.32
2,100,1.7402201,1.8088193,505.19
2,150,1.7482982,1.7961199,541.26
2,200,1.7315066,1.7867494,579.3
2,250,1.6230687,1.7820852,613.83
2,300,1.5579395,1.772915,647.64
2,350,1.7816556,1.7624661,684.37
2,400,1.7723016,1.7564886,718.43
2,450,1.6402602,1.7499253,752.37
2,500,1.8886399,1.7431548,787.75
3,0,1.7081783,1.7081783,865.8
3,50,1.6492765,1.6215452,901.94
3,100,1.5402119,1.6200595,937.61
3,150,1.5048409,1.6179798,979.51
3,200,1.6271241,1.6256957,1021.84
3,250,1.6102157,1.6309825,1055.69
3,300,1.4038312,1.6307144,1091.62
3,350,1.5469785,1.629744,1128.88
3,400,1.424696,1.6247288,1163.08
3,450,1.5900639,1.6221269,1195.92
3,500,1.6676263,1.621225,1229.82
4,0,1.5179574,1.5179574,1299.92
4,50,1.6183553,1.5066181,1334.96
4,100,1.4484367,1.5172601,1368.44
4,150,1.3985436,1.5153481,1401.78
4,200,1.4049855,1.521683,1435.21
4,250,1.5977247,1.520315,1468.95
4,300,1.724499,1.520529,1501.75
4,350,1.5231836,1.5168253,1535.19
4,400,1.5166324,1.5148664,1568.97
4,450,1.1986971,1.5140914,1602.33
4,500,1.8705016,1.5122122,1635.45
5,0,1.2578866,1.2578866,1709.83
5,50,1.2737943,1.4113846,1743.05
5,100,1.4111537,1.4204137,1776.57
5,150,1.6768993,1.4268767,1813.64
5,200,1.4901863,1.4235548,1847.98
5,250,1.3019817,1.425485,1883.62
5,300,1.5340137,1.4273393,1920.92
5,350,1.5164967,1.4273908,1955.5
5,400,1.4381418,1.4279844,1990.23
5,450,1.4711983,1.4271338,2024.35
